Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,Volatility,Sharpe_Ratio,Risk_Adjusted_Score,Return_STD,Consistency_Score,Return_Score,Composite_Score,Category_Rank,Overall_Rank
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,600.47,-0.0307,-0.0339,-0.049,0.0074,-0.0454,0.1169,0.0908,0.1466,0.1069,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.063361737,-92.84941219,86.93,0.023473815,95.92,23.05383936,64.07653575,51,224
Axis Business Cycles Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,2145.25,-0.0384,-0.0279,-0.0302,-0.0214,-0.0367,0.1249,0.0595,0.1687,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.063910649,-91.92677796,87.07,0.054954891,90.42,26.95498676,64.0289947,52,227
ICICI Prudential Housing Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,2401.71,-0.0385,-0.0264,-0.0253,-0.0053,-0.0253,0.1269,0.0672,0.1622,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.062585762,-93.84083162,86.78,0.048019406,91.63,25.80759047,63.84603619,53,232
ICICI Prudential ESG Exclusionary Strategy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1425.47,-0.0324,-0.0425,-0.0754,-0.0442,-0.0673,0.0756,0.0708,0.1679,0.1248,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.054701103,-108.3049459,84.59,0.045793913,92.02,26.81376876,63.7085075,54,237
ICICI Prudential Quant Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,153.69,-0.0281,-0.0293,-0.0409,-0.0035,-0.0393,0.0959,0.0873,0.1614,0.1409,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.052409834,-112.6525231,83.94,0.035558907,93.81,25.66637246,63.59154898,55,241
Mirae Asset Great Consumer Fund - Growth,Regular,Sectoral/Thematic,-,4386.24,-0.0346,-0.0325,-0.0855,-0.1105,-0.0862,0.0721,0.0519,0.1505,0.1418,0.1593,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.065720803,-90.19822785,87.33,0.049403765,91.39,23.74227714,63.11291086,56,258
Axis Innovation Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1145.06,-0.0261,-0.0394,-0.0767,-0.0664,-0.0753,0.0696,0.0824,0.1508,0.1076,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.055471774,-106.9084259,84.8,0.035801676,93.77,23.79523389,63.08909356,57,260
UTI India Consumer Fund - Growth,Regular,Sectoral/Thematic,3,683.25,-0.032,-0.0286,-0.0783,-0.0828,-0.0763,0.0815,0.0596,0.1395,0.1138,0.119,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.062418889,-94.81905435,86.63,0.031820544,94.46,21.80052957,63.04721183,58,262
ICICI Prudential MNC Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1704.16,-0.0466,-0.0344,-0.0449,-0.012,-0.0482,0.1059,0.0645,0.1434,0.1344,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.059968281,-98.28696021,86.11,0.035501972,93.82,22.48896734,62.97458694,59,266
Tata India Consumer Fund - Growth,Regular,Sectoral/Thematic,-,2531.65,-0.0295,-0.0425,-0.0896,-0.1093,-0.0935,0.0416,0.0626,0.1608,0.136,0.1596,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.056137902,-106.1386305,84.92,0.056168603,90.21,25.56045896,62.76318358,60,280
Kotak ESG Exclusionary Strategy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,822.94,-0.0342,-0.0374,-0.0466,-0.0053,-0.043,0.1195,0.0592,0.1338,0.1001,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.064076725,-91.77279292,87.09,0.032391614,94.36,20.79435128,62.75274051,61,284
SBI ESG Exclusionary Strategy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,1,5514.13,-0.0336,-0.0277,-0.053,-0.0031,-0.0439,0.0985,0.0676,0.1356,0.1128,0.129,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.056012522,-105.3603685,85.04,0.027137428,95.28,21.11209179,62.54083672,62,292
Canara Robeco Consumer Trends Fund - Regular Plan- Growth,Regular,Sectoral/Thematic,-,1909.25,-0.0357,-0.0292,-0.0774,-0.0723,-0.0703,0.0711,0.0591,0.1475,0.1274,0.1636,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.056078647,-105.724733,84.98,0.046411346,91.91,23.21270962,62.35208385,63,306
Aditya Birla Sun Life Consumption Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,4,6141.19,-0.0341,-0.03,-0.0735,-0.0843,-0.0731,0.075,0.0601,0.1382,0.1253,0.1505,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.059115976,-100.226713,85.81,0.039951308,93.04,21.57105031,62.28342012,64,308
Tata Infrastructure Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,4,1928.49,-0.0381,-0.012,-0.0142,-0.029,-0.0146,0.1004,-0.0031,0.175,0.177,0.1585,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.050837378,-116.0484713,83.42,0.076291959,86.7,28.06707855,62.26283142,65,309
