Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,Volatility,Sharpe_Ratio,Risk_Adjusted_Score,Return_STD,Consistency_Score,Return_Score,Composite_Score,Category_Rank,Overall_Rank
ICICI Prudential Equity & Debt Fund - Growth,Regular,Aggressive Hybrid Fund,5,49256.66,-0.0231,-0.02,-0.0269,0.0143,-0.0241,0.1422,0.0924,0.1842,0.182,0.1648,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.066354201,-88.28077055,87.62,0.037889999,93.4,29.69108561,66.18243425,1,151
Kotak Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,8431.47,-0.0246,-0.0144,-0.0117,0.0059,-0.0141,0.1409,0.0973,0.1482,0.1294,0.1366,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.063111288,-92.83759198,86.93,0.019761756,96.56,23.33627538,64.38151015,2,215
SBI Equity Hybrid Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,4,81241.59,-0.0186,-0.014,-0.0298,0.0107,-0.0276,0.1282,0.1024,0.1474,0.1147,0.1261,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.060568895,-96.94414985,86.31,0.01675091,97.09,23.19505737,64.29802295,3,217
Mirae Asset Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,9404.54,-0.0231,-0.0129,-0.0132,0.0293,-0.0197,0.1439,0.0843,0.1413,0.1147,0.1324,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.0648305,-90.32939811,87.31,0.02462787,95.72,22.11827008,63.75630803,4,235
UTI Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,5,6654.14,-0.0217,-0.0247,-0.0312,0.0162,-0.0345,0.0992,0.0851,0.1588,0.1417,0.1306,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.051664175,-114.2145399,83.7,0.030380537,94.71,25.20741395,63.60596558,5,240
Nippon India Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,4024.55,-0.0249,-0.0183,-0.0306,0.0029,-0.0259,0.1133,0.0709,0.1472,0.1293,0.106,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.055429225,-106.202098,84.91,0.028531789,95.03,23.15975287,63.24590115,6,253
Aditya Birla Sun Life Equity Hybrid 95 Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,3,7334.37,-0.0229,-0.0288,-0.042,-0.0033,-0.0385,0.106,0.0735,0.1352,0.1041,0.1089,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.05603918,-105.1764145,85.07,0.021908058,96.19,21.04148279,62.79459312,7,279
Canara Robeco Equity Hybrid Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,3,11163.81,-0.0238,-0.0179,-0.026,0.005,-0.025,0.1169,0.0764,0.1339,0.111,0.1321,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.056100541,-104.867082,85.11,0.023209761,95.96,20.81200353,62.64580141,8,286
Axis Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,2,1497.28,-0.0212,-0.0169,-0.0319,0.0005,-0.0305,0.099,0.0795,0.1157,0.0881,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.049967976,-118.0956369,83.11,0.01561012,97.29,17.59929391,61.15971756,9,344
Sundaram Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,7933.61,-0.0256,-0.0285,-0.0456,-0.0063,-0.0386,0.0906,0.0591,0.124,0.1077,0.1284,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.050594427,-116.7994264,83.31,0.028212639,95.09,19.06443071,61.14577229,10,346
Franklin India Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,2340.81,-0.0208,-0.0211,-0.037,-0.0097,-0.0307,0.0776,0.0582,0.139,0.1146,0.1175,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.042462631,-139.4732242,79.88,0.032710426,94.3,21.71226831,60.93890733,11,356
Tata Aggressive Hybrid Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,2,4032.86,-0.0279,-0.024,-0.0372,0.0021,-0.0451,0.0946,0.0507,0.1081,0.1034,0.1058,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.051945077,-113.685461,83.78,0.023930671,95.84,16.25772286,60.38908914,12,372
UTI Arbitrage Fund - Growth,Regular,Arbitrage Fund,5,10956.71,0.0013,0.0047,0.0156,0.0303,0.011,0.0647,0.0688,0.0712,0.0597,0.058,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.02357411,-251.7719641,62.92,0.005672477,99.02,9.744042365,52.47961695,1,563
SBI Arbitrage Opportunities Fund - Regular Plan - Growth,Regular,Arbitrage Fund,4,43574.28,0.0013,0.0046,0.0152,0.0296,0.0109,0.0643,0.0679,0.0711,0.0613,0.0573,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.023416013,-253.4889261,62.66,0.005412208,99.07,9.726390115,52.40955605,2,564
ICICI Prudential Equity - Arbitrage Fund - Growth,Regular,Arbitrage Fund,3,32976.02,0.0008,0.0048,0.0157,0.0299,0.0111,0.0639,0.068,0.0704,0.0596,0.0576,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.023307481,-254.6864683,62.48,0.005413871,99.07,9.60282436,52.30612974,3,568
Kotak Arbitrage Fund - Growth,Regular,Arbitrage Fund,3,71931.38,0.0013,0.0048,0.0157,0.0298,0.0111,0.0633,0.0684,0.0718,0.0612,0.059,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.022992868,-258.1974498,61.95,0.005262889,99.09,9.849955869,52.25198235,4,570
Aditya Birla Sun Life Arbitrage Fund - Regular Plan - Growth,Regular,Arbitrage Fund,4,26735.75,0.0012,0.0046,0.0153,0.0296,0.0108,0.0637,0.0672,0.07,0.059,0.0572,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.023214966,-255.7100402,62.32,0.005382564,99.07,9.532215357,52.22988614,5,572
Tata Arbitrage Fund - Growth,Regular,Arbitrage Fund,5,20563.28,0.0013,0.0046,0.0158,0.0294,0.0105,0.0636,0.0671,0.0697,0.0585,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.023149744,-256.4347965,62.21,0.004844499,99.17,9.479258605,52.20570344,6,573
Axis Arbitrage Fund - Growth,Regular,Arbitrage Fund,4,8738.96,0.0015,0.0049,0.0157,0.0298,0.0111,0.0631,0.0672,0.0693,0.0588,0.057,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.022870979,-259.5822452,61.74,0.005266593,99.09,9.408649603,52.01245984,7,583
Nippon India Arbitrage Fund - Growth,Regular,Arbitrage Fund,3,16390.2,0.0012,0.0047,0.0153,0.0297,0.0108,0.0616,0.066,0.0689,0.0585,0.0577,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.022437001,-264.6699566,60.97,0.004823173,99.17,9.3380406,51.77721624,8,589
Mirae Asset Arbitrage Fund - Growth,Regular,Arbitrage Fund,2,3638.66,0.0014,0.0048,0.0155,0.0298,0.0111,0.0603,0.0655,0.0689,0.0578,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.021886929,-271.3811501,59.95,0.005010905,99.14,9.3380406,51.46221624,9,596
Sundaram Arbitrage Fund - Regular Plan - Growth,Regular,Arbitrage Fund,2,354.54,0.0015,0.0049,0.0156,0.0292,0.0111,0.0613,0.0649,0.0668,0.0536,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.022167544,-267.9006769,60.48,0.005831238,98.99,8.967343336,51.42793733,10,598
Franklin India Arbitrage Fund - Regular Plan - Growth,Regular,Arbitrage Fund,4,730.56,0.0023,0.0065,0.0178,0.0327,0.013,0.0664,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.023686909,-250.5012348,63.11,,,,,,
Franklin India Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,1,480.62,0.0011,0.0048,0.0123,0.0322,0.0089,0.0768,0.0755,0.0752,0.0614,0.0721,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.028644819,-206.7808479,69.71,0.006278933,98.92,10.45013239,54.76905296,1,459
Kotak Banking and PSU Debt Fund - Growth,Regular,Banking and PSU Fund,4,5495.35,0.0004,0.0037,0.0073,0.0288,0.0076,0.0747,0.0746,0.0748,0.0627,0.0734,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.028402072,-208.6221069,69.44,0.005251952,99.1,10.37952339,54.71380936,2,463
UTI Banking & PSU Fund - Growth,Regular,Banking and PSU Fund,5,1101.43,0.0006,0.0042,0.0099,0.0266,0.0078,0.0746,0.074,0.0745,0.0725,0.0666,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.027925932,-212.182714,68.9,0.003370905,99.42,10.32656664,54.62662665,3,471
ICICI Prudential Banking & PSU Debt Fund - Growth,Regular,Banking and PSU Fund,2,9583.5,0.0001,0.0033,0.0086,0.0276,0.0067,0.0722,0.0736,0.0749,0.064,0.0742,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.02743711,-216.0504521,68.31,0.004461166,99.23,10.39717564,54.42087026,4,481
Sundaram Banking & PSU Fund - INSTITUTIONAL - Growth,Regular,Banking and PSU Fund,4,370.97,0.0001,0.0035,0.0062,0.0242,0.0062,0.0715,0.0738,0.0743,0.0568,0.0653,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.027230675,-217.7140294,68.06,0.007377872,98.72,10.29126214,54.15050485,5,491
Axis Banking & PSU Debt Fund - Growth,Regular,Banking and PSU Fund,3,13093.52,0.0004,0.0041,0.0074,0.0253,0.0071,0.0711,0.0723,0.0723,0.0591,0.0712,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.026825038,-221.0211217,67.56,0.005675385,99.02,9.938217123,53.94928685,6,506
Nippon India Banking and PSU Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,3,5437.21,0.0003,0.0037,0.0047,0.0234,0.0063,0.0696,0.071,0.0726,0.0604,0.0721,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.026545357,-223.4062969,67.2,0.005019761,99.14,9.991173875,53.89846955,7,509
SBI Banking and PSU Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,1,4116.12,0.0006,0.0038,0.0061,0.0237,0.0066,0.0706,0.0714,0.072,0.0569,0.0684,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.026733101,-221.7999361,67.45,0.006276783,98.92,9.885260371,53.86510415,8,512
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,2,8979.27,0.0004,0.0039,0.0056,0.0242,0.006,0.0692,0.0717,0.0726,0.0613,0.0739,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.026328419,-225.2622885,66.92,0.005021255,99.14,9.991173875,53.81446955,9,516
Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,2,44.03,0.0009,0.0037,0.0065,0.0231,0.0068,0.0668,0.0697,0.0701,0.0568,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.025147697,-235.9341291,65.31,0.006209938,98.93,9.549867608,53.09194704,10,544
Canara Robeco Banking and PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,3,194.02,0,0.0039,0.0059,0.0236,0.0057,0.0629,0.0671,0.0682,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.023924381,-248.1610719,63.46,0.002797022,99.52,9.214474846,52.57978994,11,559
SBI Childrens Fund - Investment Plan - Regular Plan - Growth,Regular,Childrens Fund,-,5175.56,-0.0314,-0.0356,-0.0673,-0.024,-0.0487,0.1362,0.1514,0.2095,0.2505,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.074088191,-79.14621676,89,0.052872362,90.79,34.15710503,67.59984201,1,108
ICICI Prudential Childrens Fund,Regular,Childrens Fund,-,1377.86,-0.0239,-0.0195,-0.0339,-0.0242,-0.0337,0.1201,0.0732,0.1808,0.1394,0.1294,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.060345685,-97.43695884,86.24,0.038676634,93.26,29.09090909,65.48636364,2,178
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan - Growth,Regular,Childrens Fund,-,1170.48,-0.0301,-0.0431,-0.058,-0.0168,-0.0639,0.1199,0.0546,0.1349,0.0817,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.068495859,-85.84606583,87.99,0.036470388,93.65,20.98852604,62.88741041,3,275
UTI CCF- Investment Plan - Growth,Regular,Childrens Fund,-,644.4,-0.0305,-0.034,-0.0632,-0.0401,-0.0572,0.077,0.0554,0.1248,0.1011,0.128,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.051456143,-115.1077333,83.57,0.031148323,94.58,19.20564872,61.12725949,4,350
Axis Childrens Fund - Compulsory Lock-in - Regular Plan - Growth,Regular,Childrens Fund,-,898.21,-0.0213,-0.0169,-0.0304,-0.0014,-0.0293,0.0923,0.0825,0.1067,0.0835,0.1011,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.04697879,-125.7524951,81.96,0.010654201,98.15,16.01059135,60.43723654,5.5,368.5
Axis Childrens Fund - No Lock-in - Regular Plan - Growth,Regular,Childrens Fund,-,898.21,-0.0213,-0.0169,-0.0304,-0.0014,-0.0294,0.0923,0.0825,0.1067,0.0835,0.1011,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.046990783,-125.7203998,81.96,0.010654201,98.15,16.01059135,60.43723654,5.5,368.5
UTI Childrens Hybrid Fund - Regular Plan,Regular,Childrens Fund,-,4436.92,-0.0116,-0.0109,-0.0239,-0.0061,-0.0196,0.064,0.0616,0.0926,0.0837,0.0866,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.032652764,-181.7916545,73.49,0.014001071,97.57,13.52162401,56.7266496,7,412
SBI Childrens Fund - Savings Plan - Regular Plan - Growth,Regular,Childrens Fund,-,132.18,,,,,,,,,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,,,,,,,,,
Aditya Birla Sun Life Regular Savings Fund- Regular Plan - Growth,Regular,Conservative Hybrid Fund,3,1533.28,-0.0063,-0.0017,0.0014,0.0224,0.0045,0.0905,0.0837,0.0921,0.0829,0.0897,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.036635211,-161.3065649,76.59,0.004189511,99.28,13.43336275,58.1343451,1,397
SBI Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,2,9760.91,-0.0094,-0.0038,-0.0035,0.018,-0.0023,0.0843,0.0741,0.0983,0.0911,0.0898,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.035761287,-165.4218976,75.96,0.00900955,98.44,14.52780229,58.13112092,2,398
Nippon India Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,4,936.15,-0.0037,0.0017,0.0072,0.0386,0.0056,0.0987,0.0822,0.092,0.0825,0.0602,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.03918119,-150.615639,78.2,0.01456149,97.47,13.4157105,58.0672842,3,399
Kotak Debt Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,3,3043.65,-0.0086,-0.0041,-0.0051,0.0166,-0.0083,0.0679,0.0617,0.0983,0.0892,0.0956,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.030010709,-197.6661051,71.09,0.016672822,97.1,14.52780229,56.26812092,4,418
Franklin India Conservative Hybrid Fund  - Growth,Regular,Conservative Hybrid Fund,3,222.88,-0.0075,-0.0055,-0.0073,0.0084,-0.0077,0.0681,0.0658,0.0913,0.074,0.0758,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.030050652,-197.3967175,71.13,0.009994749,98.27,13.29214475,56.1368579,5,423
UTI Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,4,1680.67,-0.0075,-0.0046,-0.0108,0.0092,-0.0092,0.0646,0.0722,0.0937,0.0868,0.0823,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.029143353,-203.6622239,70.19,0.011588658,97.99,13.71579876,55.94031951,6,426
Axis Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,1,232.53,-0.0042,-0.002,-0.0074,0.0164,-0.006,0.0669,0.0639,0.0745,0.0633,0.0685,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.028916045,-205.1836609,69.96,0.004498,99.23,10.32656664,54.88762665,7,453
Canara Robeco Conservative Hybrid Fund - Regular Plan - Growth,Regular,Conservative Hybrid Fund,3,893.18,-0.0071,-0.0055,-0.0123,-0.0064,-0.0101,0.0557,0.0588,0.0776,0.0675,0.0812,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.02624244,-226.5147585,66.73,0.011207721,98.06,10.87378641,53.78651456,8,517
Sundaram Conservative Hybrid Fund - Growth,Regular,Conservative Hybrid Fund,1,19.77,-0.005,-0.0064,-0.0115,0.0068,-0.0127,0.0443,0.0436,0.0674,0.0701,0.0676,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.021578639,-275.9997961,59.26,0.013418085,97.67,9.07325684,50.70830274,9,607
Kotak Contra Fund - Growth,Regular,Contra Fund,4,5086.82,-0.0358,-0.0215,-0.0278,0.0151,-0.036,0.1613,0.0814,0.1997,0.1625,0.1687,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.076874896,-75.95067165,89.48,0.043869944,92.36,32.42718447,67.52287379,1,110
SBI Contra Fund - Regular Plan - Growth,Regular,Contra Fund,3,48729.33,-0.0418,-0.034,-0.046,-0.0015,-0.0529,0.0951,0.0536,0.1819,0.1948,0.168,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.056156404,-105.1509645,85.07,0.061267667,89.32,29.28508385,64.03103354,2,226
Franklin India Corporate Debt Fund - Plan A - Growth,Regular,Corporate Bond Fund,1,1323.42,0.0009,0.0047,0.0124,0.0297,0.0092,0.0892,0.0818,0.0776,0.0626,0.0738,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.033294129,-177.5328037,74.13,0.009872183,98.29,10.87378641,56.07551456,1,425
Nippon India Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,8887.75,0.0004,0.0048,0.0062,0.0251,0.0076,0.0742,0.0765,0.0777,0.0661,0.0716,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.028009171,-211.5664178,68.99,0.0046127,99.21,10.89143866,54.81657546,2,456
Axis Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,8564.57,0.0003,0.0044,0.0067,0.0251,0.0073,0.0751,0.0757,0.0756,0.0621,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.02839524,-208.6582102,69.43,0.006688485,98.85,10.52074139,54.69229656,3,465
Kotak Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,17264.65,0.0002,0.0038,0.0072,0.0258,0.0073,0.074,0.0763,0.0764,0.0632,0.0728,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.028031298,-211.40655,69.02,0.005442242,99.06,10.6619594,54.68878376,4,466
SBI Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,2,22533.55,0.0003,0.0044,0.0066,0.0255,0.0071,0.0733,0.0747,0.0742,0.0598,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.027738974,-213.6596705,68.68,0.007156815,98.76,10.27360989,54.34144395,5,484
Mirae Asset Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,2,47.89,0.0009,0.0045,0.0073,0.0248,0.0074,0.0705,0.0723,0.0719,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.026438129,-224.2783517,67.07,0.000945163,99.85,9.86760812,54.02304325,6,495
Sundaram Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,4,758.13,-0.0001,0.0034,0.0048,0.0228,0.0055,0.0709,0.0731,0.0707,0.0599,0.0728,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.027175829,-218.1754993,67.99,0.005463698,99.06,9.655781112,53.97731244,7,500
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,3,28252.62,0.0009,0.0052,0.0066,0.0256,0.0069,0.0692,0.0747,0.0762,0.065,0.0756,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.026006897,-228.0472026,66.5,0.004863949,99.16,10.6266549,53.94866196,8,507
Tata Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,1,4100.18,0.0005,0.0043,0.0072,0.0247,0.0071,0.0682,0.0723,0.0732,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.025657955,-231.1875575,66.03,0.002665208,99.55,10.09708738,53.71283495,9,518
Canara Robeco Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,2,110.74,0.0007,0.0044,0.0065,0.0225,0.0071,0.0604,0.0649,0.0654,0.0537,0.0642,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.022567646,-263.1909362,61.19,0.00489561,99.16,8.720211827,51.59308473,10,592
Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,4,1138.04,0.0004,0.006,0.0462,0.0739,0.0459,0.1333,0.1443,0.1198,0.0982,0.0853,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.048850988,-120.0937847,82.81,0.024360768,95.76,18.32303619,60.90021447,1,357
ICICI Prudential Credit Risk Fund - Growth,Regular,Credit Risk Fund,3,5939.88,-0.0013,0.0021,0.0099,0.038,0.0086,0.0911,0.0836,0.0847,0.0737,0.0791,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.035357753,-167.1175222,75.71,0.006499846,98.88,12.1270962,57.22783848,2,405
Nippon India Credit Risk Fund - Growth,Regular,Credit Risk Fund,4,1030.58,0.0018,0.0084,0.0162,0.0367,0.014,0.0903,0.0865,0.0854,0.0851,0.0606,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.03274984,-180.4497382,73.69,0.011909954,97.93,12.25066196,56.38626478,3,416
Kotak Credit Risk Fund - Growth,Regular,Credit Risk Fund,2,706.22,-0.0009,0.0039,0.0111,0.0358,0.011,0.0894,0.0758,0.0781,0.0593,0.0673,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.033968265,-174.0035904,74.67,0.011381872,98.03,10.96204766,56.19481906,4,419
Axis Credit Risk Fund - Growth,Regular,Credit Risk Fund,3,362.79,0,0.0068,0.0135,0.0369,0.0114,0.0879,0.0827,0.0797,0.0683,0.0683,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.032754933,-180.4949476,73.69,0.008792724,98.48,11.24448367,56.14879347,5,421
SBI Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,2,2163.97,0.0001,0.0052,0.0128,0.0315,0.0107,0.0786,0.0783,0.0817,0.069,0.0728,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.029189227,-202.8625118,70.31,0.005092838,99.12,11.59752868,55.46801147,6,436
UTI Credit Risk Fund - Growth,Regular,Credit Risk Fund,3,258.47,0.0013,0.0057,0.0125,0.0301,0.0105,0.0731,0.0752,0.0735,0.0944,0.0291,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.026807685,-221.089583,67.55,0.02404502,95.82,10.15004413,53.07101765,7,545
ICICI Prudential Dividend Yield Equity Fund - Growth,Regular,Dividend Yield Fund,-,6370.55,-0.0307,-0.0248,-0.0271,0.0206,-0.0259,0.1503,0.0875,0.2201,0.2114,0.1715,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.071173366,-82.18945295,88.54,0.053393895,90.7,36.0282436,68.18329744,1,88
UTI Dividend Yield Fund - Growth,Regular,Dividend Yield Fund,1,3880.21,-0.0286,-0.0222,-0.0285,0.0086,-0.029,0.1216,0.0936,0.1954,0.1618,0.1519,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.059572871,-98.67578761,86.05,0.038921177,93.22,31.66813769,66.44825508,2,145
Tata Dividend Yield Fund - Regular Plan - Growth,Regular,Dividend Yield Fund,-,1004.53,-0.0319,-0.0206,-0.0236,0.038,-0.0327,0.178,0.0664,0.1707,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.082802069,-70.31225252,90.33,0.062431749,89.12,27.30803177,64.75821271,3,201
